risk_taking;score;rank
0.7211947200186984;86;1
0.544638262234115;84;2
0.5372063996682145;66;3
0.6205428226363969;62;4
0.5674808163117486;60;5
0.7122911466805542;36;6
0.6153731079746522;104;1
0.7491847756993281;90;2
0.6620627488140796;76;3
0.4936015917467549;66;4
0.565539082668373;64;5
0.5451654223771549;64;6
0.6637807325409949;102;1
0.5937500365525477;92;2
0.599445766894156;76;3
0.5847201744807282;40;4
0.5526885202340461;24;5
0.5326656021595599;-4;6
0.5434557051670884;100;1
0.5774650618428092;98;2
0.7247915867379118;74;3
0.5841975387049801;68;4
0.6657524525982422;66;5
0.5836662225694078;46;6
0.6093282839994151;112;1
0.6014078066960904;98;2
0.49527516868477917;84;3
0.5522775579301626;84;4
0.4921112206353596;48;5
0.6341078690367355;24;6
0.5948213852502345;94;1
0.5328044971841377;88;2
0.7260779014040672;86;3
0.7357879136545438;86;4
0.7385055819175053;64;5
0.528790505817712;52;6
0.5910783427736628;100;1
0.5365099680320903;88;2
0.5705162208201433;60;3
0.5451319162819259;58;4
0.5759460991087841;52;5
0.4959239334283717;32;6
0.5531712035669268;120;1
0.6463551170255597;102;2
0.5730340810136829;98;3
0.5620679281150821;86;4
0.7364039312240238;74;5
0.7091536983192855;48;6
0.6308271498829382;112;1
0.5846127052845622;102;2
0.7118058950724534;102;3
0.6677245545608675;96;4
0.5372237138067569;80;5
0.621812328199926;46;6
0.6986517818383599;126;1
0.6859942590046073;90;2
0.5957999149673573;76;3
0.7453409957236368;74;4
0.7031930929836647;72;5
0.7138934603161475;-4;6
0.5409766454137424;90;1
0.6129142698317197;82;2
0.5776581071592134;72;3
0.5471113919616314;62;4
0.6578307111467955;52;5
0.5141653418655112;24;6
0.5685534195466484;98;1
0.7031598048950438;82;2
0.599563764698398;82;3
0.6686003737211623;62;4
0.5033528847833865;48;5
0.7433619705456185;48;6
0.5873271852919776;82;1
0.5607189321386465;78;2
0.6518983755254263;76;3
0.6244985576768518;64;4
0.7256098475807297;58;5
0.7262842353545964;50;6
0.7240971083817911;134;1
0.6824326144127897;100;2
0.6159852492380347;94;3
0.5448472860530876;88;4
0.5055517821205971;76;5
0.6251676588314014;46;6
0.6099582216561393;94;1
0.6700870583429296;80;2
0.6007439108125677;76;3
0.5387631283287484;68;4
0.561168568135291;66;5
0.5095240962592231;58;6
0.6959859944884913;112;1
0.5934440058198325;52;2
0.5567124198351728;50;3
0.6292933558681922;48;4
0.5626305161151558;38;5
0.747551157737494;22;6
0.5658584267240717;96;1
0.6717349366114246;86;2
0.7162186158799315;78;3
0.6076932418013965;76;4
0.5927440584090772;60;5
0.7496197183071048;56;6
0.6574551664154256;118;1
0.5342810608223348;96;2
0.7042347511871461;88;3
0.665315943109295;60;4
0.5116490995864279;58;5
0.6043498586108406;16;6
0.6731010475940737;118;1
0.5098597353328631;98;2
0.6214703689491642;90;3
0.5107963451457611;74;4
0.734543311655794;70;5
0.7323451781835377;64;6
0.7266435962508248;118;1
0.6819589268222088;100;2
0.7459939497067141;90;3
0.663189345626034;78;4
0.6388579282986577;66;5
0.4978858464442588;42;6
0.5965787640316762;84;1
0.6240355195367476;76;2
0.6884456338095998;76;3
0.6369251481520558;60;4
0.7469385677508629;58;5
0.4958476097006473;36;6
0.5627480996176524;120;1
0.6244597355488062;110;2
0.732198859859364;100;3
0.7231992292710326;88;4
0.591118212330512;72;5
0.7184357306535997;46;6
0.511426466369023;96;1
0.5007006151308022;88;2
0.7096234729885739;86;3
0.5846046755714618;70;4
0.5311426546437975;58;5
0.5836441629178588;34;6
0.5260851120614668;108;1
0.7239260939522749;70;2
0.738011910488139;60;3
0.7173877522790558;48;4
0.6718267601663617;46;5
0.7306708340020329;38;6
0.7283420358883984;116;1
0.7161110849822604;110;2
0.5883892296078206;98;3
0.596819638899392;80;4
0.5543710019008001;62;5
0.7177989364465678;60;6
0.5570289011651225;92;1
0.7183944040482886;78;2
0.601726070108038;62;3
0.6732300758547227;60;4
0.6119223578870618;52;5
0.4974324355453737;48;6
0.5718345076923786;96;1
0.6170132492408724;90;2
0.7163703359744344;86;3
0.5062040708963539;80;4
0.5598235580057784;74;5
0.6512472750345786;34;6
0.7082591593363111;102;1
0.5587825349205899;80;2
0.6434773681558634;64;3
0.5294379412051884;64;4
0.5725145561981817;58;5
0.500225679175891;10;6
0.6666656277088246;110;1
0.5829328297934436;102;2
0.662740597162112;100;3
0.5471887041548047;76;4
0.680718162911987;42;5
0.6430748339244331;32;6
0.6587698945674858;102;1
0.5053905586129647;76;2
0.6115593697265943;74;3
0.49020615075876595;52;4
0.49701892462584674;40;5
0.5401501964976396;32;6
0.6247468748860547;84;1
0.6754414375991378;74;2
0.5501870959536138;66;3
0.5214957797274248;38;4
0.6938393430743366;34;5
0.6093560170050082;16;6
0.5780135017287312;110;1
0.5193565531430021;92;2
0.7084946530990195;86;3
0.5046397020340836;76;4
0.6119274993237322;74;5
0.6175375473365428;54;6
0.5631930360509902;82;1
0.6269196371908445;78;2
0.6325488038883116;72;3
0.6259349090150466;64;4
0.6951163557697637;58;5
0.5339140127816715;24;6
0.7132087982422143;104;1
0.7171866036912357;78;2
0.5857697267017417;78;3
0.7474450654410991;64;4
0.5392634412747566;48;5
0.6000712798132091;42;6
0.6702768364715546;90;1
0.5901398869206222;78;2
0.6948288356404826;74;3
0.7198884378916924;74;4
0.5816862875242824;62;5
0.5470328797629755;54;6
0.5383107378928708;78;1
0.5350283055003303;70;2
0.7289056982700101;70;3
0.7129784476527525;54;4
0.5686462295198338;46;5
0.6971040168561068;34;6
0.6239259585945075;128;1
0.6408421048277737;84;2
0.5613143815667453;78;3
0.7466122093105395;48;4
0.555351540677902;46;5
0.5362125637469153;40;6
0.5936501959366804;92;1
0.586114486042507;88;2
0.73997119299071;76;3
0.7209210204780881;58;4
0.5107420783103703;50;5
0.6520774552958328;32;6
0.630479738761764;106;1
0.5223261308413951;92;2
0.5775913502555966;70;3
0.658701614260829;50;4
0.5602624758086312;44;5
0.5010208821703278;24;6
0.5831732959806106;94;1
0.5915360245645636;88;2
0.719856139756558;72;3
0.5066929027075332;60;4
0.6219962965528419;50;5
0.5955497001529243;32;6
0.6949802204493418;88;1
0.702918163211504;84;2
0.5187379778102245;84;3
0.7404180267843294;74;4
0.6695871697723934;64;5
0.49077347302845625;34;6
0.5801023117936545;130;1
0.7444619677475515;120;2
0.6819352276837736;88;3
0.6915817410413609;80;4
0.7312739439768059;62;5
0.6038521653548721;44;6
0.6983344643838783;118;1
0.6809032000018664;92;2
0.7135991759280158;82;3
0.5360381089771368;80;4
0.6902507070791987;80;5
0.7092478026211042;74;6
0.6497047830964604;116;1
0.5612679529313909;106;2
0.5230782648416482;90;3
0.6133628597276677;82;4
0.6551792625543453;76;5
0.72931473313974;64;6
0.6026087119120714;114;1
0.7372875793234096;114;2
0.5514965333616937;70;3
0.7345889664549358;68;4
0.5900110217278445;66;5
0.6235099380817026;58;6
0.6328316471664306;106;1
0.6810358242339243;94;2
0.6025004873641132;82;3
0.724110198277836;68;4
0.49575382572213345;50;5
0.5415834809356244;40;6
0.5329626915046678;112;1
0.6676885277140934;102;2
0.5698967313877166;80;3
0.6270496587460497;64;4
0.6403860673630288;44;5
0.5540918743957289;20;6
0.7143236812807611;88;1
0.4973836048834149;88;2
0.506403917891579;84;3
0.656277365123685;78;4
0.5765141493306094;60;5
0.6032147678791266;44;6
0.6383555538866017;96;1
0.6162974770723848;94;2
0.5679732349672013;88;3
0.7067475321451568;74;4
0.6376267805522644;42;5
0.5604769052518671;10;6
0.6165261669697476;124;1
0.5773326448123214;92;2
0.7122832181772;78;3
0.5510025585729017;68;4
0.7096266324662133;58;5
0.5263287524387112;54;6
0.6589067468625367;90;1
0.7323387949281249;88;2
0.6997682571531119;86;3
0.6487569671805946;84;4
0.501360840200059;76;5
0.720923559553861;76;6
0.7489388296114554;112;1
0.561901145420457;110;2
0.5575928519762596;94;3
0.6465658613565938;78;4
0.7035736704539396;66;5
0.6725822457086775;58;6
0.7436534373126735;84;1
0.7123575197685089;72;2
0.6114395250337721;70;3
0.5983706914280911;62;4
0.5976312694707376;62;5
0.7054132457883131;46;6
0.731782379054365;114;1
0.6742545606887625;110;2
0.7483319523974894;100;3
0.6901650342221581;84;4
0.5118520649168826;66;5
0.5693688479769493;60;6
0.6582162977001158;110;1
0.7451990342997185;88;2
0.6889870627851622;74;3
0.6087671548596094;48;4
0.5775640160973528;36;5
0.6681524846810104;30;6
0.7192366496272748;132;1
0.5818996076081204;102;2
0.6048713362114361;102;3
0.727459089967933;90;4
0.6603170455892042;60;5
0.5663553984592453;52;6
0.7152236351471981;98;1
0.6544562716759579;92;2
0.6787264414034259;80;3
0.5313182855296547;66;4
0.732987078914677;60;5
0.6319669699975894;48;6
0.5694314495926454;82;1
0.5210252642720599;80;2
0.6462996789994183;72;3
0.5927455140762943;72;4
0.740982434215184;64;5
0.6303448945678538;52;6
0.7193726980960417;108;1
0.571067195435851;78;2
0.5011606331767143;74;3
0.6650606256426849;62;4
0.6232452468767511;34;5
0.6873092663073118;32;6
0.5844412938238013;92;1
0.5973856448852286;90;2
0.74586886379022;80;3
0.523182652313142;76;4
0.6442077939336797;62;5
0.6492224694392168;60;6
0.7053555023170559;116;1
0.6910065534436627;100;2
0.5229907230488023;96;3
0.5573332652452463;50;4
0.508522321414179;48;5
0.703737348988879;48;6
0.5334930884389957;110;1
0.7201503699303415;76;2
0.5386183422636527;62;3
0.7068139370800379;62;4
0.7338556268559455;58;5
0.5837140006297865;46;6
0.6180668330221795;118;1
0.6986001285503118;96;2
0.5694734605045072;74;3
0.532228922086753;52;4
0.5961941097986995;50;5
0.574257944463294;30;6
0.6205722732138093;88;1
0.5678515618332518;86;2
0.6267708036948666;76;3
0.5425809625134146;72;4
0.5033152746014221;60;5
0.5357397595099156;26;6
0.5673603160394183;120;1
0.5054405331261308;90;2
0.6604585223359434;88;3
0.5314379943218869;70;4
0.5113085716040282;66;5
0.630858689103703;60;6
0.5893939982381446;122;1
0.6367158092544443;96;2
0.6791733802512767;90;3
0.6615445881477209;50;4
0.49827235232527417;40;5
0.5930084077101991;38;6
0.6971621356977945;102;1
0.5384434461874488;80;2
0.6677007824789158;76;3
0.5677019648405415;62;4
0.6697291372328876;56;5
0.49957785224713747;46;6
0.5989218342389361;100;1
0.6200984796358175;82;2
0.7165431723850075;70;3
0.7499766864535427;44;4
0.5227880994828424;28;5
0.5118189632222913;12;6
0.712987924882241;122;1
0.7424530219901964;94;2
0.5883994129931286;88;3
0.4991985329926052;48;4
0.5303384263333651;36;5
0.6389897961865937;24;6
0.7468713207031188;126;1
0.5991786921995207;114;2
0.670744174096524;64;3
0.5028231648282249;62;4
0.5912944065068607;58;5
0.5202524307334391;28;6
0.6931957535683344;102;1
0.5548305521318972;90;2
0.5143633421798625;88;3
0.7117585471796464;76;4
0.7021266083186127;74;5
0.4948905040390955;54;6
0.6925071512381222;106;1
0.5815301673459466;102;2
0.5762047554687558;90;3
0.5707802850078606;88;4
0.7194900430175399;60;5
0.49153666758844006;34;6
0.6638607161286786;100;1
0.690823515238082;90;2
0.7493456543231027;90;3
0.4977403640026485;52;4
0.5292954217202867;40;5
0.5409215177689579;24;6
0.6906958003140197;88;1
0.7092303318599613;86;2
0.5666320679825746;72;3
0.5635351299077731;58;4
0.5723999343380681;56;5
0.539308551692191;36;6
0.7461568274765227;104;1
0.619043360630129;102;2
0.6318048230379266;76;3
0.645193689712597;68;4
0.5162468553894811;62;5
0.5235487781064656;58;6
0.7221323703204576;98;1
0.4998542075991552;76;2
0.5126502404995349;74;3
0.5711253764157167;64;4
0.6171790518194706;64;5
0.5393666440751037;40;6
0.6487225508534947;80;1
0.5529602278779526;72;2
0.7057823266447781;70;3
0.5444670613517717;64;4
0.5919276457157667;56;5
0.49787245812673975;54;6
0.5559361468824067;92;1
0.5908659202946053;90;2
0.7363284691543599;84;3
0.7413241346265894;82;4
0.6329956971919539;78;5
0.7114720549426277;62;6
0.7172378260905233;92;1
0.4908962013304227;74;2
0.5967915460707987;74;3
0.5133266196718964;66;4
0.5192768227630163;60;5
0.5898100455725946;34;6
0.7235246377792586;110;1
0.6040447701541592;102;2
0.6131290059887772;78;3
0.5139417054147735;62;4
0.7217987333322461;60;5
0.5423109398850904;42;6
0.6807444200836106;116;1
0.7159409977256395;74;2
0.492687406807621;74;3
0.7428516047569871;70;4
0.5381879987864672;62;5
0.5496130079312529;44;6
0.7454544074241871;114;1
0.7355068020843343;110;2
0.7266399820475814;92;3
0.6020851960900307;88;4
0.5989224490142495;86;5
0.7166525263830779;56;6
0.6809895144581203;116;1
0.6768394864851952;114;2
0.7460543680215861;78;3
0.5031363186523132;54;4
0.638306946306435;52;5
0.5604468200965965;50;6
0.630035324516931;110;1
0.6774538811581565;102;2
0.6803140373583403;88;3
0.6580049818887512;74;4
0.6646604873151662;74;5
0.5308356020030764;68;6
0.6769679670065976;96;1
0.5911287994065217;92;2
0.6097141983968507;74;3
0.6690107863023946;72;4
0.545419117781495;60;5
0.5617383775478515;50;6
0.5553422555012998;118;1
0.5259790397736828;88;2
0.7119666335492826;70;3
0.5298444495254175;66;4
0.6746556025227076;60;5
0.6466537958593817;58;6
0.6553650504830375;102;1
0.6589025783750706;96;2
0.6807019037227587;88;3
0.7085288574378057;82;4
0.7263631396920345;82;5
0.5853577682112887;74;6
0.5547437353595432;94;1
0.7447160358373468;80;2
0.5304110350031491;78;3
0.5050588108220476;62;4
0.7158292903898693;38;5
0.6664973833094214;34;6
0.5337092090667448;126;1
0.5110744702697707;124;2
0.5851243511207053;104;3
0.5332394951377655;76;4
0.49230954026150503;72;5
0.6100108368534531;62;6
0.6002675470217169;106;1
0.5256983947045544;76;2
0.5464492010363424;54;3
0.49934311452994196;52;4
0.49615856331385083;40;5
0.5486837341111548;36;6
0.669883038443349;100;1
0.614922926845791;60;2
0.5408457818439169;60;3
0.5452096266190504;60;4
0.5990229752638626;50;5
0.4932297045098454;38;6
0.5416716006258362;108;1
0.5027141706116112;98;2
0.4900460735354721;92;3
0.6440633908019721;80;4
0.6532633306326389;50;5
0.6340313954204948;32;6
0.7350783346190135;100;1
0.6914422801001052;70;2
0.6367482569304286;66;3
0.5690156954232827;58;4
0.5580899529499637;52;5
0.5156071783645748;36;6
0.7318907397788865;102;1
0.6778524943861006;96;2
0.6528955371117026;80;3
0.5715530417709196;66;4
0.5888345427817671;50;5
0.7457392195215047;46;6
0.66791568073357;128;1
0.5231971917379862;90;2
0.5248045572210791;78;3
0.7305383001905089;76;4
0.5396226405525348;60;5
0.5335042408382956;36;6
0.5737426320211604;108;1
0.5864302813905568;84;2
0.4974407228434721;78;3
0.5981485634490946;76;4
0.6654989222795291;60;5
0.491443509600104;56;6
0.6964497563351864;104;1
0.7249234642207865;104;2
0.646231237164784;82;3
0.6882152151609795;70;4
0.6060012115703686;52;5
0.5377425878302555;34;6
0.6761032118889053;130;1
0.6756065704116765;88;2
0.6613075054817044;78;3
0.7476946329532952;72;4
0.7408006460682904;58;5
0.4924398509931752;20;6
0.7210749622970772;120;1
0.6394744219914197;86;2
0.7282440802335206;84;3
0.6211242740105258;68;4
0.5742288545192722;60;5
0.6573799695309547;50;6
0.6855403389135855;88;1
0.6560853253118684;70;2
0.6589510291580953;64;3
0.4956771002456706;40;4
0.5000897037784457;30;5
0.5103860054656926;6;6
